Station	X	Y
Bethnal Green	250	2100
Hackney Downs	251	1955
Rectory Road	270	1870
Stoke Newington	270	1825
Highams Park	645	1709
Silver Street	268	1550
Enfield Lock	408	1430
Bush Hill Park	268	1415
Broxbourne	405	1240
Harlow Town	405	1138
Ware	295	1080
Hertford East	235	1025
Bishop's Stortford	405	995
Cambridge	410	585
Cambridge North	405	540
Littleport	405	320
King's Lynn	2900	250
